ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P105_N,P204_NOM,P204_COD,P204_TIPO,P218A,P218B,P218C_NRO,P218C_PROD_CORTE_ENT,P218C_PROD_CORTE_DEC
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,1,PASTO SUDAN,1466,3,1,3,2,1000,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,1,PASTO SUDAN,1466,3,1,3,1,1350,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,1,PASTO SUDAN,1466,3,1,3,3,1000,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,2,800,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,1,800,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,PASTO ELEFANTE,1424,3,1,3,3,600,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,PASTO SUDAN,1466,3,1,3,3,900,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,PASTO SUDAN,1466,3,1,3,1,1500,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,PASTO SUDAN,1466,3,1,3,2,1200,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,5,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,6,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,7,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,8,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,1,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,2,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,3,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,1,PASTO CHILENO,1416,3,1,8,4,60,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,2,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,5,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,4,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,7,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,1,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,8,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,6,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00065,7,1,1,1,8.64285714285714,1,1,0,1,PASTO CHILENO,1416,3,1,8,3,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,2,20,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,4,20,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,1,20,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,6,20,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,5,20,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,3,20,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,1,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,2,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,6,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,4,5,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,5,5,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,3,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,4,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,2,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,6,10,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,5,15,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,3,15,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO ELEFANTE,1424,3,1,6,1,15,000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00094,11,1,1,1,9.76923076923077,1,1,1,1,PASTO SUDAN,1466,3,1,6,3,5,000
