ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229C,P204_NOM_200C,P204_COD_200C,P229C_NOM,P229C_COD,P229D_CANT_ENT,P229D_CANT_DEC,P229D_UM,P229D_UM_COD,P229_EQUIV,P229E_1_CANT_ENT,P229E_1_CANT_DEC,P229E_PREC_ENT,P229E_PREC_DEC,P229E_VAL,P229E_1_PRE_KG,P229E_2_ENT,P229E_2_DEC,P229E_3_ENT,P229E_3_DEC,OMICAP200_02
2017,24,TUMBES,01,TUMBES,02,CORRALES,00018,00006,2,1,1,1,8.05252100840336,1,1,0,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,8,000,TABLETA,52,1,0,000, , , , ,8,000,0,000, 
2015,24,TUMBES,01,TUMBES,01,TUMBES,00024,00075,0010,1,1,1,8.6719457014,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,2,000,KILO,12,1,0,000, , , , ,2,000,0,000, 
2021,24,TUMBES,01,TUMBES,01,TUMBES,00029,00060,8,1,1,1,10.5,1,1,1,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,24,000,UNIDAD,24,.25,16,000,2,00,32,8,6,000,2,000, 
2015,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00030,00064,0010,1,1,1,8.0525210084,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,10,000,UNIDAD,24,.15,0,000, , , , ,5,000,5,000, 
2015,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00005,0001,1,1,1,9.4285714286,1,1,1,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,6,000,UNIDAD,24,.1,0,000, , , , ,6,000,0,000, 
2015,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00019,0002,1,1,1,9.4285714286,1,1,1,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,7,000,UNIDAD,24,.1,0,000, , , , ,5,000,2,000, 
2015,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00032,00040,0004,1,1,1,9.4285714286,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,30,000,UNIDAD,24,.1,0,000, , , , ,15,000,15,000, 
2015,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00047,0009,1,1,1,8.0525210084,1,1,1,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,3,000,UNIDAD,24,.25,0,000, , , , ,3,000,0,000, 
2015,24,TUMBES,01,TUMBES,06,SAN JUAN DE LA VIRGEN,00033,00053,0010,1,1,1,8.0525210084,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,8,000,UNIDAD,24,.1,0,000, , , , ,8,000,0,000, 
2015,24,TUMBES,01,TUMBES,05,SAN JACINTO,00040,00011,0003,1,1,1,8.9285714286,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,24,000,UNIDAD,24,.2,0,000, , , , ,12,000,12,000, 
2016,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00072,9,1,1,1,9.78571428571429,1,1,0,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,30,000,UNIDAD,24,.1,0,000, , , , ,20,000,10,000, 
2016,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00045,00082,10,1,1,1,9.78571428571429,1,1,1,1,CACAO,1202,TABLETAS DE CHOCOLATE,4135,48,000,UNIDAD,24,.1,0,000, , , , ,48,000,0,000, 
2015,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00049,00042,0006,1,1,1,8.0525210084,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,80,000,UNIDAD,24,.1,0,000, , , , ,50,000,30,000, 
2015,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00049,00106,0014,1,1,1,8.0525210084,1,1,1,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,200,000,UNIDAD,24,.1,0,000, , , , ,80,000,120,000, 
2015,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00050,00042,0007,1,1,1,8.0525210084,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,8,000,UNIDAD,24,.1,0,000, , , , ,6,000,2,000, 
2014,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00068,11,1,1,1,8.06428571428571,1,1,1,1, , ,BOLITAS DE CHOCOLATE,8888,20,000,UNIDAD,24,.2,0,000, , , , ,10,000,10,000,00
2014,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00052,00075,12,1,1,1,8.06428571428571,1,1,1,1, , ,BOLITAS DE CHOCOLATE,8888,8,000,UNIDAD,24,.1,0,000, , , , ,8,000,0,000,00
2015,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00053,00094,0013,1,1,1,8.6719457014,1,1,1,1,CACAO,                                    1202,TABLETAS DE CHOCOLATE,4135,100,000,TABLETA,52,.1,80,000,2,000,160, ,20,000,0,000, 
2015,24,TUMBES,01,TUMBES,04,PAMPAS DE HOSPITAL,00054,00103,0012,1,1,1,9.5,1,1,0,1,CACAO,                                    1202,BOLITAS DE CHOCOLATE,8888,6,000,UNIDAD,24,.2,0,000, , , , ,6,000,0,000, 
2015,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,00055,00042,0006,1,1,1,9.3946078431,1,1,1,1,CIRUELA AGRIA,                                    1125,MERMELADA,4140,2,000,KILO,12,1,0,000, , , , ,1,000,1,000, 
2016,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,00055,00054,8,1,1,1,8.05252100840336,1,1,0,1,CIRUELA AGRIA,1125,VINO,4139,20,000,LITRO,14,1,0,000, , , , ,0,000,20,000, 
2015,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,00055,00091,0012,1,1,1,9.3946078431,1,1,0,1,CIRUELA AGRIA,                                    1125,MERMELADA,4140,72,000,TARRINA,88,.25,50,000,3,000,150, ,2,000,20,000, 
2015,24,TUMBES,03,ZARUMILLA,02,AGUAS VERDES,00057,00083,0008,1,1,1,10.1428571429,1,1,1,1,CACAO,                                    1202,TABLETAS DE CHOCOLATE,4135,20,000,KILO,12,1,2,000,5,000,10, ,6,000,12,000, 
