ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P229G_N,P204_NOM_200D,P204_COD_200D,P229G_NOM,P229G_COD,P229H_CANT_ENT,P229H_CANT_DEC,P229H_UM,P229H_UM_COD,P229H_EQUIV,P229I_1_CANT_ENT,P229I_1_CANT_DEC,P229I_PREC_ENT,P229I_PREC_DEC,P229I_VAL,P229I_1_PRE_KG,P229I_2_ENT,P229I_2_DEC,P229I_3_ENT,P229I_3_DEC,OMICAP200_03
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1500,000,KILOGRAMO,12,1,0,000, , , , ,1500,000,0,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1,1,1,2,MAIZ CHOCLO,2109,PANCA DE CHOCLO,4129,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1000,000,KILOGRAMO,12,1,0,000, , , , ,1000,000,0,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,3000,000,ATADO,45,2,0,000, , , , ,3000,000,0,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00029,3,1,1,1,8.64285714285714,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,30,000,SACO,19,80,0,000, , , , ,20,000,10,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00019,2,1,1,1,9.76923076923077,1,1,1,1,MAIZ AMARILLO DURO,2107,CHALA DE MAIZ,4105,800,000,TERCIO,20,40,0,000, , , , ,800,000,0,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00101,12,1,1,1,9.76923076923077,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,80,000,TERCIO,20,30,0,000, , , , ,80,000,0,000, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00068,11,1,1,1,8.23015873015873,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,60,000,CARGA,09,40,60,000,5,50,330,.1375,0,000,0,000, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00088,14,1,1,1,9.60185185185185,1,1,0,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1600,000,KILOGRAMO,12,1,0,000, , , , ,0,000,1600,000, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00033,5,1,1,1,8.23015873015873,1,1,1,1,MAIZ CHOCLO,2109,CHALA DE MAIZ,4105,1,000,CAMIONADA,08,1000,0,000, , , , ,1,000,0,000, 
