ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P234_N,P234_NOM,P234_COD,P234_TIPO,P235A_1,P235A_2,P235A_3,P235A_4,P235A_5,P235A_6,P235A_7,P235A_8,P235A_9,P235A_10,P235_VAL,P235_CANT_1,P235_CANT_2,P235_UM,P235_UM_COD,P235_EQUI_KG,P235_PRE_UM,P235_PRE_KG,P236,P237_VAL,P238,P239,P240,P241,OMICAP200_04
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,1,PLATANO,1171,3,0,0,1,0,0,0,0,0,0,0, , , , , , , , ,2, ,1,600,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,2,YUCA,2620,1,0,0,1,0,0,0,0,0,0,0,60,200,00,KILOGRAMO,12,1,.3,.3,2, ,1,150,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,3,LIMON ACIDO,1140,3,0,0,0,0,1,0,0,0,0,0, , , , , , , , ,2, ,1,30,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,4,NARANJO,1156,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , ,2, ,1,15,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,5,MANGO,1147,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , ,2, ,2, ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1,1,1,1,MAIZ CHOCLO,2109,1,1,0,0,0,0,0,0,0,0,0,200,30,00,KILOGRAMO,12,1,6.67,6.67,1,150,1,300,1,150, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1,1,0,1,PLATANO,1171,3,0,0,1,0,0,0,0,0,0,0, , , , , , , , ,2, ,1,30,1,20, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1,1,0,2,LIMON ACIDO,1140,3,0,0,0,0,0,1,0,0,0,0, , , , , , , , ,2, ,1,75,1,50, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1,1,0,3,MANGO,1147,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , ,2, ,2, ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,1,MAIZ CHOCLO,2109,1,0,0,0,0,0,0,0,0,1,0,40,20,00,KILOGRAMO,12,1,2,2,2, ,1,150,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,2,YUCA,2620,1,1,0,1,0,0,0,0,0,0,0,25,500,00,ESTACA,88,.2,.05,.25,2, ,1,100,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,3,ZAPALLO,2345,1,0,0,0,0,0,0,0,0,1,0,80,1,00,KILOGRAMO,12,1,80,80,2, ,1,150,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,4,LIMON ACIDO,1140,3,0,0,0,0,1,0,0,0,0,0, , , , , , , , ,2, ,1,30,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,5,NARANJO,1156,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , ,2, ,2, ,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,6,SANDIA,2209,1,0,0,0,0,0,0,0,0,1,0,50,0,50,KILOGRAMO,12,1,100,100,2, ,1,60,2, , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,7,TAMARINDO,1179,2,0,0,0,0,0,1,0,0,0,0, , , , , , , , ,2, ,2, ,2, , 
