ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A,P402A,P403A_1,P403A_2,P403A_3,P403A_4_1_ENT,P403A_4_1_DEC,P403A_4_1_VAL,P403A_4_2_ENT,P403A_4_2_VAL,P403A_5_ENT,P403A_5_DEC,P403A_5_VAL,P403A_6_ENT,P403A_6_DEC,P403A_7_ENT,P403A_8_ENT,P403A_8_DEC,P403A_9_ENT,P403A_9_DEC,P403AA_1,P403AA_2,P403AA_3,P403AA_4,P403AA_5,P403AA_6,P403AA_7,P403AA_8,P403AA_9,P403AA_10,P404A
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,1,6,2,0,0,0,00, ,0, ,0,00, ,0,00,0,0,00,0,00, , , , , , , , , , ,8
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,2,6,6,0,0,0,00, ,2,60,0,00, ,0,00,4,0,00,0,00,1,0,0,0,0,0,0,0,0,0,6
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,3,10,5,0,0,0,00, ,5,200,2,00,100,0,00,5,0,00,0,00,1,0,0,0,0,0,0,0,0,0,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00046,3,1,1,1,20.9090909090909,1,1,1,1,5,2,0,0,0,00, ,0, ,0,00, ,0,00,2,0,00,0,00, , , , , , , , , , ,5
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1,1,1,3,30,15,0,0,0,00, ,2,240,1,00,100,0,00,2,0,00,0,00,1,0,0,0,0,0,0,0,0,0,40
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1,1,0,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00102,6,1,1,1,20.9090909090909,1,0,1,3,30,10,0,0,0,00, ,5,750,2,00,240,0,00,8,0,00,0,00,1,0,0,0,0,0,0,0,0,0,25
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00121,7,1,1,1,20.9090909090909,1,0,1,3,60,30,0,0,0,00, ,5,750,2,00,300,0,00,8,0,00,0,00,1,0,0,0,0,0,0,0,0,0,75
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00121,7,1,1,1,20.9090909090909,1,0,1,14,10,0,0,0,0,00, ,0, ,2,00,40,0,00,5, , ,0,00, , , , , , , , , , ,3
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00121,7,1,1,1,20.9090909090909,1,0,1,15,5,5,0,0,0,00, ,0, ,3,00,90,0,00,3, , ,0,00, , , , , , , , , , ,4
