ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P401A_400C,P411B_400C,P419_N,P419_NOM,P419_COD,P420_CANT_ENT,P420_CANT_DEC,P420_UM,P420_UM_COD,P420_EQUIV,P421_1_CANT_ENT,P421_1_CANT_DEC,P421_1_PREC_ENT,P421_1_PREC_DEC,P421_1_VAL,P421_1_PRE_KG,P421_2_CANT_ENT,P421_2_CANT_DEC,P421_3_CANT_ENT,P421_3_CANT_DEC,OMICAP400_04
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,1,1,1,QUESO,4208,2,50,UNIDAD,24,.5,2,50,6,00,15,12,0,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,1,1,1,11.9090909090909,1,0,1,3,3,1,QUESO,4208,100,00,UNIDAD,24,.5,60,00,5,00,300,10,30,00,10,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00093,11,1,1,1,11.9090909090909,1,0,1,3,3,1,QUESO,4208,38,00,UNIDAD,24,.5,30,00,8,00,240,16,8,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00111,13,1,1,1,11.9090909090909,1,0,1,3,3,1,QUESO,4208,100,00,UNIDAD,24,.5,100,00,8,00,800,16,0,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00011,1,1,1,1,8.64285714285714,1,1,1,3,3,1,QUESO,4208,30,00,UNIDAD,24,.8,0,00, , , , ,30,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00020,2,1,1,1,8.64285714285714,1,1,1,3,3,1,QUESO,4208,50,00,UNIDAD,24,.5,10,00,5,00,50,10,35,00,5,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00003,00061,6,1,1,1,8.64285714285714,1,1,1,3,3,1,QUESO,4208,120,00,UNIDAD,24,.5,90,00,7,00,630,14,30,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00004,00100,12,1,1,1,11.5454545454545,1,1,1,1,1,1,QUESO,4208,120,00,UNIDAD,24,1,80,00,7,00,560,7,20,00,20,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00011,1,1,1,1,9.76923076923077,1,1,1,3,3,1,QUESO,4208,170,00,UNIDAD,24,.5,85,00,6,00,510,12,80,00,5,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00032,4,1,1,1,9.76923076923077,1,0,1,3,3,1,QUESO,4208,22,00,UNIDAD,24,.4,0,00, , , , ,22,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00035,5,1,1,1,9.76923076923077,1,1,1,3,3,1,QUESO,4208,175,00,UNIDAD,24,.4,100,00,7,00,700,17.5,40,00,35,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00005,00077,9,1,1,1,9.76923076923077,1,1,1,3,3,1,QUESO,4208,78,00,UNIDAD,24,.4,0,00, , , , ,78,00,0,00, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,00006,00138,10,1,1,1,18,1,0,1,3,3,1,QUESO,4208,110,00,UNIDAD,24,.5,100,00,5,00,500,10,10,00,0,00, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00081,12,1,1,1,8.23015873015873,1,0,1,3,3,1,QUESO,4208,12,00,UNIDAD,24,.5,12,00,5,00,60,10,0,00,0,00, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00096,14,1,1,1,8.23015873015873,1,0,1,3,3,1,QUESO,4208,208,00,KILOGRAMO,12,1,160,00,12,00,1920,12,20,00,28,00, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,1,1,1,8.23015873015873,1,1,1,1,1,1,QUESO,4208,23,00,UNIDAD,24,1,20,00,14,00,280,14,3,00,0,00, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00010,00071,9,1,1,1,9.60185185185185,1,1,1,3,3,1,QUESO,4208,50,00,KILOGRAMO,12,1,40,00,12,00,480,12,10,00,0,00, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00018,00051,10,1,1,1,8.23015873015873,1,1,1,1,1,1,QUESO,4208,10,00,UNIDAD,24,1,0,00, , , , ,10,00,0,00, 
2021,24,TUMBES,01,TUMBES,01,TUMBES,00029,00002,1,1,1,1,10.5,1,0,1,3,3,1,QUESO,4208,50,00,UNIDAD,24,.4,0,00, , , , ,50,00,0,00, 
