ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,300,450,0,750,200,50,50,60,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,360,1110, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00046,3,1,1,1,20.9090909090909,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,1200,100,50,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1350,1350, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,648,0,648,150,0,50,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,350,998, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1,1,0,0,0,0,0,0, , , , ,50,0,0,0,0,0,0,0,50, , , , , , , , , , , , , , , , , , , , , ,50, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00102,6,1,1,1,20.9090909090909,1,0,1, , , , , , , , , , , , , , , , , , ,500,50,100,250,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,900,900, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00121,7,1,1,1,20.9090909090909,1,0,1, , , , , , , , , , , , , , , , , , ,600,0,50,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,700,700, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,300,1200,0,1500,1760,0,50,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1830,3330, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1,1,1,0,0,0,250,0, , ,1, ,0,0,0,0,0,200,540,0,990,600,0,50,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,700,1690, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00142,10,1,1,1,20.9090909090909,1,0,1, , , , , , , , , , , , , , , , , , ,2000,0,50,100,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,2150,2150, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00171,11,1,1,1,20.9090909090909,1,0,1, , , , , , , , , , , , , , , , , , ,2880,0,15,150,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,3045,3045, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00188,12,1,1,1,20.9090909090909,1,0,1, , , , , , , , , , , , , , , , , , ,1200,0,100,100,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1400,1400, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,2500,0,102,0,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,2612,2612, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00027,3,1,1,1,11.9090909090909,1,0,1, , , , , , , , , , , , , , , , , , ,3600,0,21,80,24,0,0,0,300,0, , ,2, ,0,0,0,0,0,0,4025,4025, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00028,4,1,1,1,11.9090909090909,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0,3000,0,10,200,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,3210,3210, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00033,5,1,1,1,11.9090909090909,1,1,0,0,0,0,1200,200, , ,5,2,0,0,0,0,0,0,0,0,1400, , , , , , , , , , , , , , , , , , , , , ,1400, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1,1,1,0,0,0,0,0, , , , ,300,0,0,0,0,0,0,0,300,1200,0,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1240,1540, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00053,7,1,1,1,11.9090909090909,1,1,1,0,0,0,160,0, , ,2, ,1000,0,0,0,0,0,900,720,2780,1000,0,30,0,10,0,0,0,0,0, , , , ,15,0,0,0,0,0,1055,3835, 
