ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1202B_N,P1202B_DEP_COD,P1202B_DEP,P1202B_PROV_COD,P1202B_PROV,P1202B_DIST_COD,P1202B_DIST,P1202B_CANT,OMICAP1200A
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00027,3,1,1,1,11.9090909090909,1, ,0,1,0,1,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,1, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00061,8,1,1,1,11.9090909090909,1, ,0,1,0,1,24,TUMBES,01,TUMBES,02,CORRALES,1, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00084,10,1,1,1,11.9090909090909,1, ,0,1,0,1,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,1, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00120,14,1,1,1,11.9090909090909,1, ,0,1,0,1,24,TUMBES,02,CONTRALMIRANTE VILLAR,02,CASITAS,1, 
2021,24,TUMBES,01,TUMBES,03,LA CRUZ,00007,00039,6,1,1,1,8.23015873015873,1, ,1,0,0,1,24,TUMBES,01,TUMBES,02,CORRALES,2, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00008,00102,12,1,1,1,8.23015873015873,1, ,1,1,0,1,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00010,00036,4,1,1,1,9.60185185185185,1, ,1,1,0,1,24,TUMBES,01,TUMBES,01,TUMBES,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00010,00049,7,1,1,1,9.60185185185185,1, ,1,1,0,1,24,TUMBES,01,TUMBES,01,TUMBES,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00013,00034,4,1,1,1,10.9090909090909,1, ,1,0,0,1,24,TUMBES,01,TUMBES,05,SAN JACINTO,8, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00014,00019,3,1,1,1,9.60185185185185,1, ,1,0,0,1,24,TUMBES,01,TUMBES,02,CORRALES,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00062,9,1,1,1,9.60185185185185,1, ,1,0,0,1,24,TUMBES,01,TUMBES,03,LA CRUZ,3, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00015,00072,10,1,1,1,9.60185185185185,1, ,1,0,0,1,24,TUMBES,01,TUMBES,01,TUMBES,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00002,1,1,1,1,8.23015873015873,1, ,1,0,0,1,24,TUMBES,01,TUMBES,01,TUMBES,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00002,1,1,1,1,8.23015873015873,1, ,1,0,0,2,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00005,2,1,1,1,8.23015873015873,1, ,1,0,0,1,24,TUMBES,01,TUMBES,01,TUMBES,1, 
2021,24,TUMBES,01,TUMBES,02,CORRALES,00016,00018,3,1,1,1,8.23015873015873,1, ,1,1,0,1,24,TUMBES,03,ZARUMILLA,01,ZARUMILLA,1, 
