ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1203,P1205,P1205_NOM,P1205_COD,P1205_TIPO,P1206_SUP_1,P1206_SUP_2,OMICAP1200_02
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1, ,1,1,0,1,1,PLATANO,1171,3,0,700, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1, ,1,1,0,1,2,YUCA,2620,1,0,025, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1, ,1,1,0,1,3,LIMON ACIDO,1140,3,0,049, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1, ,1,1,0,1,4,NARANJO,1156,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1, ,1,1,0,1,5,MANGO,1147,2,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1, ,1,1,0,1,1,MAIZ CHOCLO,2109,1,0,500, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1, ,1,0,0,1,1,PLATANO,1171,3,0,030, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1, ,1,0,0,1,2,LIMON ACIDO,1140,3,0,108, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1, ,1,0,0,1,3,MANGO,1147,2,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1, ,1,0,0,1,4,PAPAYA,1163,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,1,ZAPALLO,2345,1,0,200, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,2,YUCA,2620,1,0,200, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,3,PLATANO,1171,3,0,050, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,4,LIMON ACIDO,1140,3,0,049, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,5,NARANJO,1156,2,0,020, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,6,SANDIA,2209,1,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,7,MANGO,1147,2,0,300, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,8,TAMARINDO,1179,2,0,040, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,9,MAIZ CHOCLO,2109,1,0,300, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,10,LIMA,1139,2,0,008, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1, ,1,1,0,1,1,MAIZ CHOCLO,2109,1,0,300, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1, ,1,1,0,1,2,YUCA,2620,1,0,095, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1, ,1,1,0,1,3,PASTO SUDAN,1466,3,0,100, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1, ,1,1,0,1,4,PLATANO,1171,3,0,005, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1, ,1,1,0,1,1,YUCA,2620,1,0,250, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1, ,1,1,0,1,2,MAIZ CHOCLO,2109,1,0,250, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00033,5,1,1,1,11.9090909090909,1, ,1,0,0,1,1,TAMARINDO,1179,2,10,000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1, ,1,1,0,1,1,YUCA,2620,1,0,050, 
