ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P102_3,P1203,P1204,P1208_SUP_1,P1208_SUP_2,P1209_SUP_1,P1209_SUP_2,P1210_SUP_1,P1210_SUP_2,P1211_SUP_1,P1211_SUP_2,P1212_SUP_1,P1212_SUP_2,P1213_SUP_1,P1213_SUP_2,P1214_SUP_1,P1214_SUP_2,P1215_SUP_1,P1215_SUP_2,P1216
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00007,1,1,1,1,20.9090909090909,1, ,1,1,0,1,1,0,000,0,000, , ,0,000,0,000,0,000,0,156,1,0000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00046,3,1,1,1,20.9090909090909,1, ,1,1,0,1,2,0,000,2,000, , ,0,000,0,000,0,000,0,000,2,0000,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00064,4,1,1,1,20.9090909090909,1, ,1,1,0,1,1,0,000,0,000, , ,0,000,0,000,0,000,0,000,0,5000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00079,5,1,1,1,20.9090909090909,1, ,1,0,0,1,1,0,242,0,000, , ,0,000,0,000,0,000,0,000,0,5000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00137,8,1,1,1,20.9090909090909,1, ,1,1,0,1,1,0,000,0,000, , ,0,000,0,000,1,683,0,050,3,0000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,03,CANOAS DE PUNTA SAL,00001,00138,9,1,1,1,20.9090909090909,1, ,1,1,0,1,1,0,000,0,000, , ,0,000,0,000,0,000,0,000,0,5000, 
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00002,1,1,1,1,11.9090909090909,1, ,1,1,0,1,1,0,000,0,500, , ,0,000,0,000,0,000,0,500,1,5000,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00028,4,1,1,1,11.9090909090909,1, ,1,1,0,1,2,0,000,4,000, , ,0,000,0,000,0,000,0,000,4,0000,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00033,5,1,1,1,11.9090909090909,1, ,1,0,0,1,1,0,000,10,000, , ,0,000,0,000,0,000,0,000,20,0000,1
2021,24,TUMBES,02,CONTRALMIRANTE VILLAR,01,ZORRITOS,00002,00043,6,1,1,1,11.9090909090909,1, ,1,1,0,1,1,0,000,0,796, , ,0,000,0,000,0,000,0,000,1,0000,1
